,image,real_calibration,calibration
251,serie_2_angle_248.58_mrad.tiff,246.89238725081026,248.58
252,serie_0_angle_274.21_mrad.tiff,272.3800810268696,274.21
253,serie_2_angle_200.15_mrad.tiff,206.25261288357493,200.15
254,serie_1_angle_257.12_mrad.tiff,254.19599934791714,257.12
255,serie_0_angle_ 52.03_mrad.tiff,50.58795445509888,52.03
256,serie_1_angle_157.42_mrad.tiff,150.13199386674506,157.42
257,serie_4_angle_294.15_mrad.tiff,295.5602964897162,294.15
258,serie_4_angle_248.58_mrad.tiff,251.57253026319444,248.58
259,serie_1_angle_225.79_mrad.tiff,225.82749637194735,225.79
260,serie_0_angle_285.61_mrad.tiff,283.58007225050574,285.61
261,serie_3_angle_163.12_mrad.tiff,167.1320330817936,163.12
262,serie_2_angle_220.09_mrad.tiff,221.9923644591404,220.09
263,serie_3_angle_177.36_mrad.tiff,178.87722942837615,177.36
264,serie_4_angle_ 52.03_mrad.tiff,53.72773239898556,52.03
265,serie_1_angle_274.21_mrad.tiff,275.77470103024683,274.21
266,serie_4_angle_157.42_mrad.tiff,157.42,157.42
267,serie_0_angle_ 23.55_mrad.tiff,23.55,23.55
268,serie_4_angle_234.33_mrad.tiff,233.25726304022635,234.33
269,serie_0_angle_ 26.39_mrad.tiff,26.39,26.39
270,serie_4_angle_126.09_mrad.tiff,121.50625332823873,126.09
271,serie_2_angle_205.85_mrad.tiff,210.23536034146326,205.85
272,serie_1_angle_ 15.00_mrad.tiff,15.0,15.0
273,serie_1_angle_203.00_mrad.tiff,205.65670088407887,203.0
274,serie_3_angle_137.48_mrad.tiff,137.0898014355642,137.48
275,serie_1_angle_ 63.42_mrad.tiff,64.20891666419189,63.42
276,serie_4_angle_165.97_mrad.tiff,157.76582406335922,165.97
277,serie_4_angle_254.27_mrad.tiff,251.57253026319444,254.27
278,serie_2_angle_114.70_mrad.tiff,117.02906385863798,114.7
279,serie_3_angle_183.06_mrad.tiff,175.62610603279612,183.06
280,serie_1_angle_282.76_mrad.tiff,280.63402287616873,282.76
281,serie_3_angle_ 71.97_mrad.tiff,73.79856006209067,71.97
282,serie_0_angle_154.58_mrad.tiff,154.58,154.58
283,serie_1_angle_251.42_mrad.tiff,248.08712409924874,251.42
284,serie_0_angle_ 66.27_mrad.tiff,66.81232922122359,66.27
285,serie_4_angle_ 63.42_mrad.tiff,62.076403761459375,63.42
286,serie_1_angle_197.30_mrad.tiff,199.4246796451674,197.3
287,serie_4_angle_231.48_mrad.tiff,232.70142240841056,231.48
288,serie_2_angle_ 77.67_mrad.tiff,77.88182755373401,77.67
289,serie_2_angle_183.06_mrad.tiff,188.02898366544355,183.06
290,serie_3_angle_148.88_mrad.tiff,146.37100620664273,148.88
291,serie_3_angle_188.76_mrad.tiff,196.19804637189299,188.76
292,serie_2_angle_197.30_mrad.tiff,202.49275163970842,197.3
293,serie_1_angle_ 71.97_mrad.tiff,73.93724642062233,71.97
294,serie_1_angle_ 97.61_mrad.tiff,96.98591463251516,97.61
295,serie_2_angle_ 43.48_mrad.tiff,43.563026269447754,43.48
296,serie_2_angle_265.67_mrad.tiff,264.1504113296603,265.67
297,serie_3_angle_154.58_mrad.tiff,155.22004711343692,154.58
298,serie_4_angle_288.45_mrad.tiff,287.18901352131604,288.45
299,serie_2_angle_ 71.97_mrad.tiff,71.93024208583522,71.97
300,serie_1_angle_291.30_mrad.tiff,290.2082321057625,291.3
301,serie_4_angle_291.30_mrad.tiff,290.2082321057625,291.3
302,serie_3_angle_100.45_mrad.tiff,101.47302008537467,100.45
303,serie_3_angle_134.64_mrad.tiff,131.83681321865214,134.64
304,serie_4_angle_240.03_mrad.tiff,237.14210391839953,240.03
305,serie_1_angle_279.91_mrad.tiff,278.9705264365498,279.91
306,serie_1_angle_ 57.73_mrad.tiff,57.34935464488386,57.73
307,serie_4_angle_200.15_mrad.tiff,200.26960581706905,200.15
308,serie_4_angle_194.45_mrad.tiff,199.40000485483245,194.45
309,serie_4_angle_ 54.88_mrad.tiff,55.47970814977283,54.88
310,serie_3_angle_ 23.55_mrad.tiff,23.55,23.55
311,serie_4_angle_285.61_mrad.tiff,286.131062099588,285.61
312,serie_0_angle_117.55_mrad.tiff,119.25865493375223,117.55
313,serie_0_angle_271.36_mrad.tiff,268.686942457648,271.36
314,serie_4_angle_ 83.36_mrad.tiff,83.94958187341494,83.36
315,serie_0_angle_168.82_mrad.tiff,160.48592447824473,168.82
316,serie_2_angle_ 26.39_mrad.tiff,26.39,26.39
317,serie_1_angle_137.48_mrad.tiff,132.1509098786275,137.48
318,serie_4_angle_228.64_mrad.tiff,227.49782444664052,228.64
319,serie_1_angle_ 83.36_mrad.tiff,82.9028697855683,83.36
320,serie_4_angle_ 46.33_mrad.tiff,47.24966304435632,46.33
321,serie_3_angle_117.55_mrad.tiff,119.63134999538909,117.55
322,serie_3_angle_ 86.21_mrad.tiff,85.77480354495303,86.21
323,serie_0_angle_245.73_mrad.tiff,244.32822827956315,245.73
324,serie_4_angle_217.24_mrad.tiff,217.91826705761179,217.24
325,serie_3_angle_146.03_mrad.tiff,147.59712012418134,146.03
326,serie_0_angle_214.39_mrad.tiff,220.4952835636301,214.39
327,serie_2_angle_251.42_mrad.tiff,250.29520959225857,251.42
328,serie_3_angle_ 57.73_mrad.tiff,57.59721753344097,57.73
329,serie_2_angle_131.79_mrad.tiff,135.49502779542559,131.79
330,serie_2_angle_203.00_mrad.tiff,210.23536034146326,203.0
331,serie_0_angle_ 77.67_mrad.tiff,78.24427048395955,77.67
332,serie_3_angle_140.33_mrad.tiff,142.06222811952455,140.33
333,serie_0_angle_ 15.00_mrad.tiff,15.0,15.0
334,serie_1_angle_ 94.76_mrad.tiff,94.66726414619839,94.76
335,serie_1_angle_220.09_mrad.tiff,225.05705181570409,220.09
336,serie_2_angle_ 20.70_mrad.tiff,20.7,20.7
337,serie_2_angle_111.85_mrad.tiff,113.46150041051719,111.85
338,serie_3_angle_ 94.76_mrad.tiff,95.63550296600877,94.76
339,serie_2_angle_ 54.88_mrad.tiff,54.97213379227756,54.88
340,serie_1_angle_168.82_mrad.tiff,170.72688971695845,168.82
341,serie_4_angle_203.00_mrad.tiff,208.60316430270075,203.0
342,serie_4_angle_ 66.27_mrad.tiff,65.8775310379317,66.27
343,serie_4_angle_ 23.55_mrad.tiff,23.55,23.55
344,serie_2_angle_274.21_mrad.tiff,272.12862746678485,274.21
345,serie_0_angle_114.70_mrad.tiff,118.08896190541918,114.7
346,serie_3_angle_274.21_mrad.tiff,272.5456685201709,274.21
347,serie_0_angle_103.30_mrad.tiff,103.32784166724178,103.3
348,serie_1_angle_271.36_mrad.tiff,268.76105110751945,271.36
349,serie_0_angle_120.39_mrad.tiff,115.89179358031905,120.39
350,serie_1_angle_111.85_mrad.tiff,112.52453712437588,111.85
351,serie_0_angle_240.03_mrad.tiff,238.22585974630022,240.03
352,serie_0_angle_248.58_mrad.tiff,245.69765040237175,248.58
353,serie_1_angle_234.33_mrad.tiff,233.70526183262564,234.33
354,serie_2_angle_ 91.91_mrad.tiff,92.9697496928217,91.91
355,serie_0_angle_143.18_mrad.tiff,139.17228714541807,143.18
356,serie_3_angle_ 17.85_mrad.tiff,17.85,17.85
357,serie_1_angle_ 20.70_mrad.tiff,20.7,20.7
358,serie_4_angle_114.70_mrad.tiff,114.5101159739587,114.7
359,serie_2_angle_ 57.73_mrad.tiff,57.69024492163433,57.73
360,serie_4_angle_ 94.76_mrad.tiff,93.53971462019229,94.76
361,serie_1_angle_ 29.24_mrad.tiff,29.24,29.24
362,serie_3_angle_262.82_mrad.tiff,265.9481034210913,262.82
363,serie_3_angle_ 46.33_mrad.tiff,46.65100255031483,46.33
364,serie_2_angle_106.15_mrad.tiff,105.31388535946826,106.15
365,serie_4_angle_265.67_mrad.tiff,264.1504113296603,265.67
366,serie_1_angle_214.39_mrad.tiff,220.4952835636301,214.39
367,serie_2_angle_ 52.03_mrad.tiff,54.08832120703244,52.03
368,serie_4_angle_ 57.73_mrad.tiff,57.34935464488386,57.73
369,serie_3_angle_251.42_mrad.tiff,249.0178889213227,251.42
370,serie_4_angle_ 60.58_mrad.tiff,62.103706281759365,60.58
371,serie_2_angle_128.94_mrad.tiff,124.04809484836616,128.94
372,serie_1_angle_126.09_mrad.tiff,122.10848272496719,126.09
373,serie_2_angle_100.45_mrad.tiff,99.90011695259943,100.45
374,serie_2_angle_177.36_mrad.tiff,181.80393297901549,177.36
375,serie_3_angle_ 40.64_mrad.tiff,41.51517226125472,40.64
376,serie_1_angle_177.36_mrad.tiff,180.30176515864449,177.36
377,serie_2_angle_242.88_mrad.tiff,242.81686941233374,242.88
378,serie_2_angle_146.03_mrad.tiff,148.6074498401442,146.03
379,serie_2_angle_ 74.82_mrad.tiff,76.52342358477354,74.82
380,serie_2_angle_ 34.94_mrad.tiff,35.17543546118869,34.94
381,serie_4_angle_143.18_mrad.tiff,136.88505323144403,143.18
382,serie_2_angle_245.73_mrad.tiff,244.64021439949465,245.73
383,serie_0_angle_137.48_mrad.tiff,131.60927624719767,137.48
384,serie_3_angle_ 29.24_mrad.tiff,29.24,29.24
385,serie_0_angle_123.24_mrad.tiff,118.51705676246814,123.24
386,serie_3_angle_203.00_mrad.tiff,206.25261288357493,203.0
387,serie_3_angle_208.70_mrad.tiff,211.5496277213226,208.7
388,serie_0_angle_228.64_mrad.tiff,222.47161726847798,228.64
389,serie_0_angle_194.45_mrad.tiff,193.0929989417367,194.45
390,serie_3_angle_171.67_mrad.tiff,163.30146701295078,171.67
391,serie_1_angle_ 49.18_mrad.tiff,48.26994063287207,49.18
392,serie_3_angle_220.09_mrad.tiff,224.46149225440766,220.09
393,serie_1_angle_128.94_mrad.tiff,124.10911492984259,128.94
394,serie_0_angle_ 54.88_mrad.tiff,55.96638791560996,54.88
395,serie_3_angle_120.39_mrad.tiff,115.8951181143263,120.39
396,serie_0_angle_171.67_mrad.tiff,177.57778514940568,171.67
397,serie_1_angle_259.97_mrad.tiff,258.5606561038387,259.97
398,serie_1_angle_228.64_mrad.tiff,227.07544189727065,228.64
399,serie_2_angle_240.03_mrad.tiff,243.74127512187127,240.03
400,serie_2_angle_291.30_mrad.tiff,287.72394239575874,291.3
401,serie_3_angle_279.91_mrad.tiff,282.0661702950968,279.91
402,serie_3_angle_109.00_mrad.tiff,111.68075018289625,109.0
403,serie_0_angle_ 69.12_mrad.tiff,68.55988556181566,69.12
404,serie_3_angle_ 89.06_mrad.tiff,88.64164921989186,89.06
405,serie_0_angle_225.79_mrad.tiff,223.0852348573059,225.79
406,serie_1_angle_200.15_mrad.tiff,201.18535990795837,200.15
407,serie_2_angle_143.18_mrad.tiff,137.51734164311853,143.18
408,serie_3_angle_168.82_mrad.tiff,160.48592447824473,168.82
409,serie_2_angle_237.18_mrad.tiff,237.45955781829662,237.18
410,serie_4_angle_117.55_mrad.tiff,116.34120806572486,117.55
411,serie_1_angle_171.67_mrad.tiff,177.57778514940568,171.67
412,serie_3_angle_ 43.48_mrad.tiff,44.52574508203223,43.48
413,serie_1_angle_ 54.88_mrad.tiff,56.07339529962768,54.88
414,serie_3_angle_ 63.42_mrad.tiff,64.08005207862368,63.42
415,serie_0_angle_220.09_mrad.tiff,225.05705181570409,220.09
416,serie_1_angle_188.76_mrad.tiff,185.57526077575127,188.76
417,serie_2_angle_222.94_mrad.tiff,226.93153201001806,222.94
418,serie_0_angle_ 40.64_mrad.tiff,40.90944091293317,40.64
419,serie_1_angle_265.67_mrad.tiff,262.7439374864462,265.67
420,serie_4_angle_188.76_mrad.tiff,189.4807980989307,188.76
421,serie_0_angle_200.15_mrad.tiff,205.65670088407887,200.15
422,serie_2_angle_126.09_mrad.tiff,123.71288037002716,126.09
423,serie_0_angle_205.85_mrad.tiff,210.23536034146326,205.85
424,serie_2_angle_ 49.18_mrad.tiff,47.052621812433486,49.18
425,serie_4_angle_ 34.94_mrad.tiff,33.56843587159124,34.94
426,serie_2_angle_165.97_mrad.tiff,171.56603992036798,165.97
427,serie_2_angle_234.33_mrad.tiff,236.85380222344315,234.33
428,serie_0_angle_ 32.09_mrad.tiff,33.56843587159124,32.09
429,serie_0_angle_197.30_mrad.tiff,199.4246796451674,197.3
430,serie_1_angle_154.58_mrad.tiff,147.7489463450507,154.58
431,serie_0_angle_294.15_mrad.tiff,295.5602964897162,294.15
432,serie_2_angle_137.48_mrad.tiff,136.58170293115802,137.48
433,serie_3_angle_180.21_mrad.tiff,180.20137720066802,180.21
434,serie_3_angle_222.94_mrad.tiff,227.0288687741023,222.94
435,serie_2_angle_134.64_mrad.tiff,136.4986946679843,134.64
436,serie_3_angle_165.97_mrad.tiff,160.48592447824473,165.97
437,serie_4_angle_177.36_mrad.tiff,180.30176515864449,177.36
438,serie_0_angle_ 74.82_mrad.tiff,77.88182755373401,74.82
439,serie_0_angle_165.97_mrad.tiff,157.80637209808214,165.97
440,serie_1_angle_117.55_mrad.tiff,116.69013110935467,117.55
441,serie_4_angle_151.73_mrad.tiff,145.7048493533585,151.73
442,serie_4_angle_268.52_mrad.tiff,268.6128338077765,268.52
443,serie_0_angle_109.00_mrad.tiff,109.27863701501889,109.0
444,serie_2_angle_288.45_mrad.tiff,285.754889922784,288.45
445,serie_4_angle_ 86.21_mrad.tiff,85.77480354495303,86.21
446,serie_2_angle_103.30_mrad.tiff,103.31798408692694,103.3
447,serie_1_angle_160.27_mrad.tiff,160.27,160.27
448,serie_0_angle_ 94.76_mrad.tiff,93.53971462019229,94.76
449,serie_2_angle_154.58_mrad.tiff,158.57866092266323,154.58
450,serie_2_angle_217.24_mrad.tiff,216.4693865055394,217.24
451,serie_4_angle_220.09_mrad.tiff,225.05705181570409,220.09
452,serie_3_angle_ 26.39_mrad.tiff,26.39,26.39
453,serie_3_angle_103.30_mrad.tiff,103.42113749340135,103.3
454,serie_2_angle_ 46.33_mrad.tiff,47.754052659447126,46.33
455,serie_3_angle_126.09_mrad.tiff,125.62798141681293,126.09
456,serie_2_angle_211.55_mrad.tiff,213.66029629165348,211.55
457,serie_3_angle_268.52_mrad.tiff,264.1504113296603,268.52
458,serie_2_angle_157.42_mrad.tiff,162.35683213659948,157.42
459,serie_3_angle_123.24_mrad.tiff,122.8772657132298,123.24
460,serie_1_angle_183.06_mrad.tiff,183.1900737162607,183.06
461,serie_2_angle_160.27_mrad.tiff,164.70982970379657,160.27
462,serie_1_angle_297.00_mrad.tiff,299.7005036006206,297.0
463,serie_3_angle_ 52.03_mrad.tiff,52.876121020326664,52.03
464,serie_1_angle_185.91_mrad.tiff,185.91,185.91
465,serie_2_angle_ 23.55_mrad.tiff,23.55,23.55
466,serie_3_angle_297.00_mrad.tiff,292.4933665031059,297.0
467,serie_3_angle_ 74.82_mrad.tiff,75.03817187343842,74.82
468,serie_4_angle_160.27_mrad.tiff,153.58078715624276,160.27
469,serie_1_angle_ 89.06_mrad.tiff,90.85139296697201,89.06
470,serie_3_angle_245.73_mrad.tiff,248.08712409924874,245.73
471,serie_4_angle_146.03_mrad.tiff,140.30837345138227,146.03
472,serie_0_angle_174.52_mrad.tiff,179.13086748522,174.52
473,serie_3_angle_157.42_mrad.tiff,157.84692013280505,157.42
474,serie_1_angle_ 43.48_mrad.tiff,43.857275512683835,43.48
475,serie_3_angle_248.58_mrad.tiff,251.57253026319444,248.58
476,serie_1_angle_106.15_mrad.tiff,106.66099785005603,106.15
477,serie_0_angle_160.27_mrad.tiff,152.59317409406876,160.27
478,serie_2_angle_171.67_mrad.tiff,176.5357516185765,171.67
479,serie_1_angle_208.70_mrad.tiff,214.38008725745556,208.7
480,serie_0_angle_279.91_mrad.tiff,275.03468328623705,279.91
481,serie_0_angle_268.52_mrad.tiff,266.0042668407446,268.52
482,serie_0_angle_ 89.06_mrad.tiff,92.95640997488155,89.06
483,serie_1_angle_165.97_mrad.tiff,172.19664014487824,165.97
484,serie_0_angle_291.30_mrad.tiff,290.2082321057625,291.3
485,serie_0_angle_265.67_mrad.tiff,267.5445648458143,265.67
486,serie_0_angle_ 86.21_mrad.tiff,85.98461776191702,86.21
487,serie_4_angle_ 97.61_mrad.tiff,97.39638000704169,97.61
488,serie_4_angle_ 80.52_mrad.tiff,78.36228510120407,80.52
489,serie_4_angle_197.30_mrad.tiff,199.4246796451674,197.3
490,serie_3_angle_114.70_mrad.tiff,116.43444675377057,114.7
491,serie_1_angle_ 86.21_mrad.tiff,85.46771984792888,86.21
492,serie_1_angle_ 37.79_mrad.tiff,37.36147947290098,37.79
493,serie_2_angle_ 40.64_mrad.tiff,40.90944091293317,40.64
494,serie_0_angle_146.03_mrad.tiff,140.8877924458027,146.03
495,serie_3_angle_111.85_mrad.tiff,114.2708814280079,111.85
496,serie_2_angle_ 94.76_mrad.tiff,97.14254859307933,94.76
497,serie_2_angle_262.82_mrad.tiff,263.24057713162097,262.82
498,serie_2_angle_ 83.36_mrad.tiff,86.02633239595455,83.36
499,serie_0_angle_185.91_mrad.tiff,180.3964801517772,185.91
